BioSample	Experiment	InsertSize	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	colection_date	country	host_status	isolation_source	serovar	specific_host	strain	Assay_Type	AssemblyName	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study	Species
SAMEA1690363	ERX166482	236	5652131	2013-01-23	389	195	2013-01-21	ERR191793	ERS135556	SAMEA1690363 ERS135556	2009	USA: Portland	disease	urethra	ST 1893/NG 437	Homo sapiens	GCGS064	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690357	ERX166483	236	5652132	2013-01-23	337	168	2013-01-21	ERR191794	ERS135268	SAMEA1690357 ERS135268	2009	USA: Portland	disease	urethra	ST 1901/NG 3128	Homo sapiens	GCGS065	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690323	ERX166484	236	5652133	2013-01-23	354	176	2013-01-21	ERR191795	ERS135269	SAMEA1690323 ERS135269	2009	USA: Las Vegas	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS066	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690449	ERX166485	236	5652134	2013-01-23	370	185	2013-01-21	ERR191796	ERS135557	SAMEA1690449 ERS135557	2009	USA: San Diego	disease	urethra	ST 1901/NG 3149	Homo sapiens	GCGS067	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690406	ERX166486	236	5652135	2013-01-23	761	376	2013-01-21	ERR191797	ERS135271	SAMEA1690406 ERS135271	2009	USA: San Diego	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS068	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690374	ERX166487	236	5652136	2013-01-23	496	244	2013-01-21	ERR191798	ERS135272	SAMEA1690374 ERS135272	2009	USA: San Diego	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS069	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690324	ERX166488	236	5652137	2013-01-23	491	244	2013-01-21	ERR191799	ERS135685	SAMEA1690324 ERS135685	2009	USA: San Diego	disease	urethra	ST 1901/NG 6734	Homo sapiens	GCGS070	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690450	ERX166489	236	5652138	2013-01-23	297	148	2013-01-21	ERR191800	ERS135274	SAMEA1690450 ERS135274	2009	USA: San Diego	disease	urethra	ST 1580/NG 5895	Homo sapiens	GCGS071	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690471	ERX166490	236	5652139	2013-01-23	547	274	2013-01-21	ERR191801	ERS135275	SAMEA1690471 ERS135275	2009	USA: San Diego	disease	urethra	ST 6712/NG 7468	Homo sapiens	GCGS072	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690440	ERX166491	236	5652140	2013-01-23	844	419	2013-01-21	ERR191802	ERS135559	SAMEA1690440 ERS135559	2009	USA: San Diego	disease	urethra	ST 1580/NG 5895	Homo sapiens	GCGS073	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690498	ERX166492	236	5652141	2013-01-23	773	378	2013-01-21	ERR191803	ERS135277	SAMEA1690498 ERS135277	2009	USA: San Diego	disease	urethra	ST 1583/NG 766	Homo sapiens	GCGS074	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690335	ERX166493	236	5652142	2013-01-23	384	192	2013-01-21	ERR191804	ERS135278	SAMEA1690335 ERS135278	2009	USA: San Diego	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS075	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690318	ERX166494	236	5652143	2013-01-23	358	179	2013-01-21	ERR191805	ERS135560	SAMEA1690318 ERS135560	2009	USA: San Diego	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS076	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690496	ERX166495	236	5652144	2013-01-23	411	202	2013-01-21	ERR191806	ERS135280	SAMEA1690496 ERS135280	2009	USA: San Diego	disease	urethra	ST 1901/NG 4378	Homo sapiens	GCGS077	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690481	ERX166496	236	5652145	2013-01-23	371	183	2013-01-21	ERR191807	ERS135281	SAMEA1690481 ERS135281	2009	USA: San Diego	disease	urethra	ST 1901/NG New	Homo sapiens	GCGS078	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690380	ERX166497	236	5652146	2013-01-23	500	251	2013-01-21	ERR191808	ERS135654	SAMEA1690380 ERS135654	2009	USA: Seattle	disease	urethra	ST 1901/NG 3158	Homo sapiens	GCGS079	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690445	ERX166498	236	5652147	2013-01-23	426	211	2013-01-21	ERR191809	ERS135283	SAMEA1690445 ERS135283	2009	USA: Seattle	disease	urethra	ST 1901/NG 690	Homo sapiens	GCGS080	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690424	ERX166499	236	5652148	2013-01-23	364	183	2013-01-21	ERR191810	ERS135284	SAMEA1690424 ERS135284	2009	USA: Seattle	disease	urethra	ST 1901/NG 3158	Homo sapiens	GCGS081	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690376	ERX166500	236	5652149	2013-01-23	833	420	2013-01-21	ERR191811	ERS135562	SAMEA1690376 ERS135562	2009	USA: Seattle	disease	urethra	ST 1902/NG 3449	Homo sapiens	GCGS082	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690385	ERX166501	236	5652150	2013-01-23	541	265	2013-01-21	ERR191812	ERS135286	SAMEA1690385 ERS135286	2009	USA: San Francisco	disease	urethra	ST 9363/NG 3935	Homo sapiens	GCGS083	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690362	ERX166502	236	5652151	2013-01-23	423	207	2013-01-21	ERR191813	ERS135287	SAMEA1690362 ERS135287	2009	USA: San Francisco	disease	urethra	ST 9363/NG 3935	Homo sapiens	GCGS084	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690384	ERX166503	236	5652152	2013-01-23	831	414	2013-01-21	ERR191814	ERS135563	SAMEA1690384 ERS135563	2009	USA: San Francisco	disease	urethra	ST 1901/NG 4533	Homo sapiens	GCGS085	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690315	ERX166504	236	5652153	2013-01-23	548	273	2013-01-21	ERR191815	ERS135289	SAMEA1690315 ERS135289	2009	USA: San Francisco	disease	urethra	ST 1901/NG 1440	Homo sapiens	GCGS086	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690412	ERX166505	236	5652154	2013-01-23	327	165	2013-01-21	ERR191816	ERS135290	SAMEA1690412 ERS135290	2009	USA: San Francisco	disease	urethra	ST 1901/NG 3431	Homo sapiens	GCGS087	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690414	ERX166506	236	5652155	2016-03-09	422	217	2013-01-21	ERR191817	ERS135655	SAMEA1690414 ERS135655	2009	USA: San Francisco	disease	urethra	ST 1901/NG 3431	Homo sapiens	GCGS088	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690459	ERX166507	236	5652156	2016-03-09	505	261	2013-01-21	ERR191818	ERS135292	SAMEA1690459 ERS135292	2009	USA: San Francisco	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS089	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690451	ERX166508	236	5652157	2016-03-09	399	211	2013-01-21	ERR191819	ERS135293	SAMEA1690451 ERS135293	2009	USA: San Francisco	disease	urethra	ST 1588/NG 4205	Homo sapiens	GCGS090	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690422	ERX166509	236	5652158	2016-03-09	367	189	2013-01-21	ERR191820	ERS135565	SAMEA1690422 ERS135565	2010	USA: Chicago	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS091	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690486	ERX166510	236	5652159	2016-03-09	439	224	2013-01-21	ERR191821	ERS135295	SAMEA1690486 ERS135295	2010	USA: Chicago	disease	urethra	ST 1580/NG 730	Homo sapiens	GCGS092	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690484	ERX166511	236	5652160	2013-01-23	442	219	2013-01-21	ERR191822	ERS135296	SAMEA1690484 ERS135296	2010	USA: Chicago	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS093	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690461	ERX166512	236	5652161	2013-01-23	806	404	2013-01-21	ERR191823	ERS135566	SAMEA1690461 ERS135566	2009	USA: Chicago	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS094	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690325	ERX166513	236	5652162	2013-01-23	434	216	2013-01-21	ERR191824	ERS135298	SAMEA1690325 ERS135298	2010	USA: Chicago	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS095	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690331	ERX166514	236	5652163	2013-01-23	539	265	2013-01-21	ERR191825	ERS135299	SAMEA1690331 ERS135299	2010	USA: Chicago	disease	urethra	ST 9363/NG 2992	Homo sapiens	GCGS096	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690495	ERX198263	251	6053882	2013-01-24	337	162	2013-01-24	ERR223603	ERS135696	SAMEA1690495 ERS135696	2010	USA: Chicago	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS097	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690427	ERX198264	251	6053883	2013-01-24	400	192	2013-01-24	ERR223604	ERS135301	SAMEA1690427 ERS135301	2010	USA: Chicago	disease	urethra	ST 9363/NG 2992	Homo sapiens	GCGS098	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690467	ERX198265	251	6053884	2013-01-24	375	183	2013-01-24	ERR223605	ERS135302	SAMEA1690467 ERS135302	2010	USA: Cleveland	disease	urethra	ST 1901/NG 437	Homo sapiens	GCGS099	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690503	ERX198266	251	6053885	2013-01-24	360	175	2013-01-24	ERR223606	ERS135568	SAMEA1690503 ERS135568	2010	USA: Detroit	disease	urethra	ST 1893/NG Unknown	Homo sapiens	GCGS100	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690416	ERX198267	251	6053886	2013-01-24	381	186	2013-01-24	ERR223607	ERS135304	SAMEA1690416 ERS135304	2010	USA: Denver	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS101	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690338	ERX198268	251	6053887	2013-01-24	322	156	2013-01-24	ERR223608	ERS135305	SAMEA1690338 ERS135305	2010	USA: Albuquerque	disease	urethra	ST 1901/NG 4951	Homo sapiens	GCGS102	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690339	ERX198269	251	6053888	2013-01-24	352	171	2013-01-24	ERR223609	ERS135569	SAMEA1690339 ERS135569	2010	USA: Denver	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS103	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690354	ERX198270	251	6053889	2013-01-24	367	177	2013-01-24	ERR223610	ERS135307	SAMEA1690354 ERS135307	2010	USA: Albuquerque	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS104	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690480	ERX198271	251	6053890	2013-01-24	346	167	2013-01-24	ERR223611	ERS135308	SAMEA1690480 ERS135308	2010	USA: Denver	disease	urethra	ST 1901/NG 4269	Homo sapiens	GCGS105	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690364	ERX198272	251	6053891	2013-01-24	322	155	2013-01-24	ERR223612	ERS135657	SAMEA1690364 ERS135657	2010	USA: Phoenix	disease	urethra	ST 8126/NG 359	Homo sapiens	GCGS106	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690437	ERX198273	251	6053892	2013-01-24	364	175	2013-01-24	ERR223613	ERS135310	SAMEA1690437 ERS135310	2010	USA: Greensboro	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS107	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690408	ERX198274	251	6053893	2013-01-24	394	189	2013-01-24	ERR223614	ERS135311	SAMEA1690408 ERS135311	2009	USA: Baltimore	disease	urethra	ST 1901/NG 1978	Homo sapiens	GCGS108	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690493	ERX198275	251	6053894	2013-01-24	390	187	2013-01-24	ERR223615	ERS135571	SAMEA1690493 ERS135571	2010	USA: Honolulu	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS109	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690342	ERX198276	251	6053895	2013-01-24	499	238	2013-01-24	ERR223616	ERS135313	SAMEA1690342 ERS135313	2010	USA: San Francisco	disease	urethra	ST 9363/NG 2992	Homo sapiens	GCGS110	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690319	ERX198277	251	6053896	2013-01-24	494	239	2013-01-24	ERR223617	ERS135314	SAMEA1690319 ERS135314							GCGS111	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690359	ERX198278	251	6053897	2013-01-24	664	321	2013-01-24	ERR223618	ERS135572	SAMEA1690359 ERS135572							GCGS112	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690464	ERX198279	251	6053898	2013-01-24	333	161	2013-01-24	ERR223619	ERS135316	SAMEA1690464 ERS135316	2010	USA: Honolulu	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS113	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690448	ERX198280	251	6053899	2013-01-24	374	181	2013-01-24	ERR223620	ERS135317	SAMEA1690448 ERS135317	2009	USA: San Diego	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS114	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690344	ERX198281	251	6053900	2013-01-24	317	152	2013-01-24	ERR223621	ERS135658	SAMEA1690344 ERS135658	2010	USA: Honolulu	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS115	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690492	ERX198282	251	6053901	2013-01-24	270	130	2013-01-24	ERR223622	ERS135319	SAMEA1690492 ERS135319	2009	USA: San Diego	disease	urethra	ST 1901/NG 225	Homo sapiens	GCGS116	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690413	ERX198283	251	6053902	2013-01-24	312	150	2013-01-24	ERR223623	ERS135320	SAMEA1690413 ERS135320	2010	USA: Honolulu	disease	urethra	ST 8129/NG 1407	Homo sapiens	GCGS117	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690316	ERX198284	251	6053903	2013-01-24	372	178	2013-01-24	ERR223624	ERS135574	SAMEA1690316 ERS135574	2010	USA: Honolulu	disease	urethra	ST 9363/NG Unknown	Homo sapiens	GCGS118	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690378	ERX198285	251	6053904	2013-01-24	388	186	2013-01-24	ERR223625	ERS135322	SAMEA1690378 ERS135322	2010	USA: Honolulu	disease	urethra	ST 8129/NG 1407	Homo sapiens	GCGS119	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690465	ERX198286	251	6053905	2013-01-24	375	179	2013-01-24	ERR223626	ERS135323	SAMEA1690465 ERS135323	2009	USA: San Diego	disease	urethra	ST 9363/NG 4198	Homo sapiens	GCGS120	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690392	ERX198287	251	6053906	2013-01-24	374	182	2013-01-24	ERR223627	ERS135575	SAMEA1690392 ERS135575	2010	USA: Los Angeles	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS121	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690490	ERX198288	251	6053907	2013-01-24	633	308	2013-01-24	ERR223628	ERS135325	SAMEA1690490 ERS135325	2010	USA: Los Angeles	disease	urethra	ST 1901/NG 1978	Homo sapiens	GCGS122	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690475	ERX198289	251	6053908	2013-01-24	335	161	2013-01-24	ERR223629	ERS135326	SAMEA1690475 ERS135326	2010	USA: Los Angeles	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS123	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690472	ERX198290	251	6053909	2013-01-24	452	217	2013-01-24	ERR223630	ERS135687	SAMEA1690472 ERS135687	2010	USA: Los Angeles	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS124	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690365	ERX198291	251	6053910	2013-01-24	563	271	2013-01-24	ERR223631	ERS135328	SAMEA1690365 ERS135328	2010	USA: Los Angeles	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS125	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690332	ERX198292	251	6053911	2013-01-24	396	190	2013-01-24	ERR223632	ERS135329	SAMEA1690332 ERS135329	2010	USA: Los Angeles	disease	urethra	ST 9363/NG 2992	Homo sapiens	GCGS126	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
